Test,Sensor,Distance (inches),Angle (degrees)
102,3,14.153543307086615,50.660000000000025
102,4,14.862204724409448,134.36
103,1,12.696850393700787,222.7
103,2,12.854330708661417,321.27
103,3,14.586614173228346,49.68000000000001
103,4,14.901574803149606,130.73
104,1,12.775590551181102,222.60000000000002
104,2,12.65748031496063,321.15
104,3,14.625984251968504,49.74000000000001
104,4,14.901574803149606,133.75
105,1,12.736220472440944,222.56
105,2,12.618110236220472,322.44
105,3,14.547244094488189,49.620000000000005
105,4,14.940944881889763,133.46
106,1,12.736220472440944,222.57
106,2,12.539370078740157,322.57
106,3,14.586614173228346,49.629999999999995
106,4,14.901574803149606,133.8
107,1,12.696850393700787,222.01999999999998
107,2,12.893700787401574,322.62
107,3,14.665354330708661,48.129999999999995
107,4,14.783464566929133,130.84
108,1,12.65748031496063,222.64999999999998
108,2,12.696850393700787,322.57
108,3,14.586614173228346,49.55000000000001
108,4,14.901574803149606,134.54
109,1,12.696850393700787,222.51
109,2,12.618110236220472,322.65
109,3,14.625984251968504,49.579999999999984
109,4,14.862204724409448,133.49
110,1,12.775590551181102,222.51999999999998
110,2,12.696850393700787,320.53999999999996
110,3,14.665354330708661,49.829999999999984
110,4,14.862204724409448,133.53
111,1,12.696850393700787,222.51
111,2,12.65748031496063,322.62
111,3,14.429133858267717,49.76999999999998
111,4,14.82283464566929,134.42
112,1,12.696850393700787,222.2
112,2,12.696850393700787,320.45
112,3,14.665354330708661,49.660000000000025
112,4,14.429133858267717,135.49
113,1,12.736220472440944,222.33999999999997
113,2,12.696850393700787,322.61
113,3,14.665354330708661,49.44
113,4,13.759842519685039,135.39
114,1,12.736220472440944,222.62
114,2,12.34251968503937,322.7
114,3,14.665354330708661,49.64999999999998
114,4,14.901574803149606,133.36
115,1,12.81496062992126,222.48000000000002
115,2,12.854330708661417,322.3
115,3,14.625984251968504,49.81
115,4,14.901574803149606,133.65
116,1,12.775590551181102,222.75
116,2,12.539370078740157,319.73
116,3,14.625984251968504,49.68000000000001
116,4,14.901574803149606,134.49
117,1,12.736220472440944,222.55
117,2,12.736220472440944,322.4
117,3,14.507874015748031,49.75
117,4,14.82283464566929,134.36
118,1,12.854330708661417,222.73000000000002
118,2,12.696850393700787,322.34000000000003
118,3,14.625984251968504,49.660000000000025
118,4,14.586614173228346,135.41
119,1,12.618110236220472,223.68
119,2,12.65748031496063,322.55
119,3,14.665354330708661,48.160000000000025
119,4,14.901574803149606,133.79
120,1,12.65748031496063,222.57
120,2,12.696850393700787,322.48
120,3,14.665354330708661,48.160000000000025
120,4,14.901574803149606,133.67
121,1,12.775590551181102,222.57
121,2,12.736220472440944,319.95
121,3,14.586614173228346,49.43000000000001
121,4,14.82283464566929,135.4
122,1,12.65748031496063,222.73000000000002
122,2,12.618110236220472,322.45
122,3,14.586614173228346,45.75999999999999
122,4,14.311023622047244,135.52
123,1,12.81496062992126,223.92000000000002
123,2,12.736220472440944,322.55
123,3,14.704724409448819,48.30000000000001
123,4,14.783464566929133,133.63
124,1,12.696850393700787,222.48000000000002
124,2,12.775590551181102,321.64
124,3,14.625984251968504,49.94999999999999
124,4,14.862204724409448,133.51
125,1,12.618110236220472,222.60000000000002
125,2,12.460629921259843,322.65999999999997
125,3,14.625984251968504,49.06999999999999
125,4,14.547244094488189,135.4
126,1,12.65748031496063,222.54000000000002
126,2,12.81496062992126,321.49
126,3,14.704724409448819,48.860000000000014
126,4,14.82283464566929,134.43
127,1,12.775590551181102,222.55
127,2,12.460629921259843,318.15
127,3,14.665354330708661,48.30000000000001
127,4,14.783464566929133,134.18
128,1,12.775590551181102,222.68
128,2,12.81496062992126,321.49
128,3,14.704724409448819,49.81
128,4,14.783464566929133,135.28
129,1,12.736220472440944,222.73000000000002
129,2,12.263779527559056,322.55
129,3,14.507874015748031,49.68000000000001
129,4,14.862204724409448,134.61
130,1,12.736220472440944,222.8
130,2,12.775590551181102,320.65
130,3,14.586614173228346,49.75999999999999
130,4,14.940944881889763,133.33
131,1,12.696850393700787,222.33999999999997
131,2,12.696850393700787,322.7
131,3,14.586614173228346,49.889999999999986
131,4,14.82283464566929,135.31
132,1,12.696850393700787,223.95999999999998
132,2,12.736220472440944,322.34000000000003
132,3,14.23228346456693,50.879999999999995
132,4,14.507874015748031,135.26
133,1,12.696850393700787,222.61
133,2,12.854330708661417,322.44
133,3,14.665354330708661,49.81
133,4,14.704724409448819,134.29
134,1,12.696850393700787,222.79000000000002
134,2,12.81496062992126,322.4
134,3,14.665354330708661,49.94999999999999
134,4,14.901574803149606,130.48
135,1,12.65748031496063,222.47000000000003
135,2,12.618110236220472,320.7
135,3,14.625984251968504,50.839999999999975
135,4,14.901574803149606,134.04
136,1,12.65748031496063,222.64999999999998
136,2,12.775590551181102,321.22
136,3,14.625984251968504,50.74000000000001
136,4,14.940944881889763,133.78
137,1,12.65748031496063,217.82999999999998
137,2,12.81496062992126,322.52
137,3,14.586614173228346,49.879999999999995
137,4,14.82283464566929,134.49
138,1,12.696850393700787,222.60000000000002
138,2,12.618110236220472,323.66999999999996
138,3,14.429133858267717,49.70999999999998
138,4,14.82283464566929,135.41
139,1,12.736220472440944,222.57
139,2,12.775590551181102,322.55
139,3,14.468503937007874,49.56999999999999
139,4,14.862204724409448,133.8
140,1,12.696850393700787,222.69
140,2,12.775590551181102,322.58000000000004
140,3,14.704724409448819,49.80000000000001
140,4,14.783464566929133,134.27
141,1,12.696850393700787,222.44
141,2,12.618110236220472,322.53999999999996
141,3,14.665354330708661,49.68000000000001
141,4,14.192913385826772,135.51
142,1,12.736220472440944,222.5
142,2,12.775590551181102,322.3
142,3,14.704724409448819,49.81
142,4,14.901574803149606,134.17
143,1,12.696850393700787,222.54000000000002
143,2,12.65748031496063,322.56
143,3,14.586614173228346,48.31999999999999
143,4,14.901574803149606,134.2
144,1,12.696850393700787,222.51
144,2,12.775590551181102,321.05
144,3,14.665354330708661,49.629999999999995
144,4,14.468503937007874,135.42
145,1,12.775590551181102,222.51999999999998
145,2,12.81496062992126,321.41999999999996
145,3,14.704724409448819,48.49000000000001
145,4,14.901574803149606,134.4
146,1,12.736220472440944,222.52999999999997
146,2,12.854330708661417,322.37
146,3,14.665354330708661,49.64999999999998
146,4,14.98031496062992,133.92
147,1,12.618110236220472,222.64999999999998
147,2,12.775590551181102,322.5
147,3,14.744094488188976,48.68000000000001
147,4,14.862204724409448,135.2
148,1,12.696850393700787,222.48000000000002
148,2,12.618110236220472,317.33000000000004
148,3,14.625984251968504,49.629999999999995
148,4,14.82283464566929,134.33
149,1,12.65748031496063,222.44
149,2,12.65748031496063,322.62
149,3,14.38976377952756,50.660000000000025
149,4,14.429133858267717,135.3
150,1,12.696850393700787,222.3
150,2,12.65748031496063,322.58000000000004
150,3,14.507874015748031,49.75999999999999
150,4,14.704724409448819,134.33
151,1,12.618110236220472,222.43
151,2,12.421259842519685,323.75
151,3,14.704724409448819,49.76999999999998
151,4,14.940944881889763,134.57
152,1,12.775590551181102,222.51
152,2,12.65748031496063,322.44
152,3,14.507874015748031,50.75999999999999
152,4,14.23228346456693,135.48
153,1,12.736220472440944,222.48000000000002
153,2,12.775590551181102,320.25
153,3,14.665354330708661,50.76999999999998
153,4,14.862204724409448,133.67
154,1,12.775590551181102,222.47000000000003
154,2,12.618110236220472,321.31
154,3,14.665354330708661,49.670000000000016
154,4,14.82283464566929,134.46
155,1,12.736220472440944,222.36
155,2,12.65748031496063,320.7
155,3,14.665354330708661,50.589999999999975
155,4,14.82283464566929,133.58
156,1,12.775590551181102,222.18
156,2,12.933070866141732,322.34000000000003
156,3,14.665354330708661,49.72000000000003
156,4,14.901574803149606,134.33
157,1,12.775590551181102,222.48000000000002
157,2,12.696850393700787,320.12
157,3,14.311023622047244,50.79000000000002
157,4,14.901574803149606,133.77
158,1,12.775590551181102,222.63
158,2,12.81496062992126,323.89
158,3,14.625984251968504,50.85000000000002
158,4,14.862204724409448,133.48
159,1,12.775590551181102,222.47000000000003
159,2,12.618110236220472,317.33000000000004
159,3,14.665354330708661,48.31999999999999
159,4,14.901574803149606,133.77
160,1,12.736220472440944,222.36
160,2,12.696850393700787,322.37
160,3,14.586614173228346,50.81
160,4,14.901574803149606,133.99
161,1,12.736220472440944,222.51
161,2,12.775590551181102,320.94
161,3,14.665354330708661,49.910000000000025
161,4,14.901574803149606,134.55
162,1,12.65748031496063,223.10000000000002
162,2,12.893700787401574,322.39
162,3,14.586614173228346,50.69999999999999
162,4,14.901574803149606,134.6
163,1,12.736220472440944,222.76999999999998
163,2,12.736220472440944,323.74
163,3,14.665354330708661,49.64999999999998
163,4,14.744094488188976,134.95
164,1,12.696850393700787,222.60000000000002
164,2,12.65748031496063,319.90999999999997
164,3,14.625984251968504,49.670000000000016
164,4,13.917322834645669,135.62
165,1,12.736220472440944,222.73000000000002
165,2,12.775590551181102,322.39
165,3,14.704724409448819,49.910000000000025
165,4,14.429133858267717,135.55
166,1,12.736220472440944,222.55
166,2,12.81496062992126,321.26
166,3,14.704724409448819,49.660000000000025
166,4,14.862204724409448,134.63
167,1,12.736220472440944,222.45
167,2,12.65748031496063,317.18
167,3,14.350393700787402,50.74000000000001
167,4,14.901574803149606,134.41
168,1,12.696850393700787,222.49
168,2,12.933070866141732,321.14
168,3,14.665354330708661,49.74000000000001
168,4,14.940944881889763,135.52
169,1,12.775590551181102,222.60000000000002
169,2,12.893700787401574,320.39
169,3,14.665354330708661,49.610000000000014
169,4,14.862204724409448,133.57
170,1,12.696850393700787,222.60000000000002
170,2,12.618110236220472,320.4
170,3,14.311023622047244,50.81999999999999
170,4,13.996062992125983,135.55
171,1,12.696850393700787,222.42000000000002
171,2,12.578740157480315,317.27
171,3,14.665354330708661,49.660000000000025
171,4,14.82283464566929,135.39
172,1,12.81496062992126,222.57999999999998
172,2,12.460629921259843,322.52
172,3,14.704724409448819,49.74000000000001
172,4,14.901574803149606,133.69
173,1,12.65748031496063,222.47000000000003
173,2,12.618110236220472,322.55
173,3,14.547244094488189,49.579999999999984
173,4,14.82283464566929,133.49
174,1,12.65748031496063,223.62
174,2,12.618110236220472,318.02
174,3,14.586614173228346,49.75
174,4,14.901574803149606,134.4
175,1,12.736220472440944,222.55
175,2,12.775590551181102,322.65999999999997
175,3,14.625984251968504,49.639999999999986
175,4,14.862204724409448,134.66
176,1,12.775590551181102,222.58999999999997
176,2,12.775590551181102,320.82
176,3,14.468503937007874,50.74000000000001
176,4,14.586614173228346,135.51
177,1,12.696850393700787,222.51999999999998
177,2,12.736220472440944,322.52
177,3,14.547244094488189,49.74000000000001
177,4,13.996062992125983,135.47
178,1,12.736220472440944,222.51
178,2,12.81496062992126,322.4
178,3,14.468503937007874,50.81
178,4,14.862204724409448,133.48
179,1,12.65748031496063,222.57999999999998
179,2,12.696850393700787,322.49
179,3,14.665354330708661,49.79000000000002
179,4,14.783464566929133,134.18
180,1,12.736220472440944,222.51999999999998
180,2,12.460629921259843,319.65
180,3,14.665354330708661,49.660000000000025
180,4,14.429133858267717,135.59
181,1,12.736220472440944,222.51999999999998
181,2,12.34251968503937,322.62
181,3,14.625984251968504,49.55000000000001
181,4,14.901574803149606,133.76
182,1,12.696850393700787,222.51
182,2,12.578740157480315,322.4
182,3,14.311023622047244,50.73000000000002
182,4,14.862204724409448,133.25
183,1,12.81496062992126,222.56
183,2,12.81496062992126,321.19
183,3,14.704724409448819,48.50999999999999
183,4,14.901574803149606,134.59
184,1,12.696850393700787,222.67000000000002
184,2,12.696850393700787,321.39
184,3,14.38976377952756,48.110000000000014
184,4,14.862204724409448,133.31
185,1,12.696850393700787,222.72000000000003
185,2,12.854330708661417,321.33000000000004
185,3,14.468503937007874,50.75999999999999
185,4,14.901574803149606,133.83
186,1,12.81496062992126,222.49
186,2,12.539370078740157,322.33000000000004
186,3,14.625984251968504,49.670000000000016
186,4,14.783464566929133,135.4
187,1,12.618110236220472,222.11
187,2,12.696850393700787,322.51
187,3,14.625984251968504,49.69
187,4,14.82283464566929,134.64
188,1,12.775590551181102,222.68
188,2,12.65748031496063,322.51
188,3,14.665354330708661,49.660000000000025
188,4,14.82283464566929,134.47
189,1,12.736220472440944,222.41000000000003
189,2,12.81496062992126,317.91999999999996
189,3,14.586614173228346,49.79000000000002
189,4,14.783464566929133,134.29
190,1,12.696850393700787,222.73000000000002
190,2,12.460629921259843,322.55
190,3,14.665354330708661,49.64999999999998
190,4,14.586614173228346,135.4
191,1,12.736220472440944,222.49
191,2,12.65748031496063,321.1
191,3,14.429133858267717,50.639999999999986
191,4,14.862204724409448,134.45
192,1,12.775590551181102,222.49
192,2,12.854330708661417,321.28
192,3,14.704724409448819,48.370000000000005
192,4,14.03543307086614,135.32
193,1,12.736220472440944,222.47000000000003
193,2,12.775590551181102,322.24
193,3,14.625984251968504,50.79000000000002
193,4,14.350393700787402,135.36
194,1,12.736220472440944,222.60000000000002
194,2,12.775590551181102,322.40999999999997
194,3,14.429133858267717,50.74000000000001
194,4,14.940944881889763,133.5
195,1,12.775590551181102,222.54000000000002
195,2,12.578740157480315,323.63
195,3,14.350393700787402,50.74000000000001
195,4,14.862204724409448,133.36
196,1,12.775590551181102,222.5
196,2,12.696850393700787,318.8
196,3,14.625984251968504,49.72000000000003
196,4,14.862204724409448,133.38
197,1,12.775590551181102,223.87
197,2,12.578740157480315,320.85
197,3,14.468503937007874,50.85000000000002
197,4,14.901574803149606,135.39
198,1,12.775590551181102,222.48000000000002
198,2,12.34251968503937,322.62
198,3,14.665354330708661,49.829999999999984
